,Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
166,167.0,4.0,2.0,CateApp,Yes,Software / Tech,Male,75000,30%,250000,,,,,1.0,1.0,,,2.0,37500,
167,168.0,4.0,2.0,Alpha M,No,Business Services,Male,,,,,,,,,,,,0.0,,
168,169.0,4.0,2.0,eCreamery,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
169,170.0,4.0,3.0,Rock Bands,Yes,Fashion / Beauty,Male,100000,40%,250000,,1.0,,,1.0,,,,2.0,50000,
170,171.0,4.0,3.0,Posture Now,Yes,Healthcare,Male,100000,30%,333333,,1.0,,,,,,,1.0,100000,
171,172.0,4.0,3.0,FuzziBunz,No,Children / Education,Female,,,,,,,,,,,,0.0,,
172,173.0,4.0,3.0,Liz Lovely Cookies,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0.0,,
173,174.0,4.0,4.0,Bag Bowl,Yes,Lifestyle / Home,Male,40000,33%,121212,,,1.0,,,,,,1.0,40000,
174,175.0,4.0,4.0,Back 9 Dips,Yes,Food and Beverage,Mixed Team,150000,25%,600000,,,1.0,1.0,,,,,2.0,75000,
175,176.0,4.0,4.0,Lift Hamper,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
176,177.0,4.0,4.0,Zomm,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
177,178.0,4.0,5.0,Cozy Bugs,Yes,Fashion / Beauty,Female,50000,30%,166667,,,,,1.0,,,,1.0,50000,
178,179.0,4.0,5.0,Marz Sprays,Yes,Healthcare,Male,200000,25%,800000,,,1.0,,,,,,1.0,200000,plus option to buy back option of half the stock for 4X investment
179,180.0,4.0,5.0,Wired Waffles,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
180,181.0,4.0,5.0,The Spatty and The Spaddy Dadd,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
181,182.0,4.0,6.0,PRO-NRG,Yes,Food and Beverage,Mixed Team,250000,30%,833333,,,,,1.0,,,,1.0,250000,contingent on a deal with Bad Ass Energy
182,183.0,4.0,6.0,Cousins Maine Lobster,Yes,Food and Beverage,Male,55000,15%,366667,1.0,,,,,,,,1.0,55000,
183,184.0,4.0,6.0,Freaker USA,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
184,185.0,4.0,6.0,EcoNutsSoap,No,Lifestyle / Home,Mixed Team,,,,,,,,,,,,0.0,,
185,186.0,4.0,7.0,SBU,Yes,Fitness / Sports,Male,300000,33%,909091,,,,1.0,,1.0,,,2.0,150000,
186,187.0,4.0,7.0,Scrub Daddy,Yes,Lifestyle / Home,Male,200000,20%,1000000,,,1.0,,,,,,1.0,200000,
187,188.0,4.0,7.0,The Shemie,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
188,189.0,4.0,7.0,The Bear & The Rat,No,Pet Products,Mixed Team,,,,,,,,,,,,0.0,,
189,190.0,4.0,8.0,The Cool Wazoo,Yes,Children / Education,Female,65000,35%,185714,,,1.0,,,,,,1.0,65000,
190,191.0,4.0,8.0,Plate Topper,Yes,Food and Beverage,Male,90000,8%,1125000,,,1.0,,,,,,1.0,90000,
191,192.0,4.0,8.0,No Fly Cone,No,Pet Products,Male,,,,,,,,,,,,0.0,,
192,193.0,4.0,9.0,Drive Suits,Yes,Uncertain / Other,Male,150000,30%,500000,,,,,,1.0,,,1.0,150000,
193,194.0,4.0,9.0,Ice Chips Candy,Yes,Food and Beverage,Female,125000,20%,625000,1.0,1.0,,,,,,,2.0,62500,
194,195.0,4.0,9.0,ReVestor,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
195,196.0,4.0,9.0,PC Classes Online,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
196,197.0,4.0,10.0,Ruck Pack Combat Nutrition,Yes,Fashion / Beauty,Male,150000,20%,750000,,,,1.0,,1.0,,,2.0,75000,
197,198.0,4.0,10.0,Nearly Newlywed,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
198,199.0,4.0,10.0,Tie Try,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
199,200.0,4.0,10.0,Corks Away,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
200,201.0,4.0,11.0,The Living Christmas Company,Yes,Lifestyle / Home,Male,150000,40%,375000,,1.0,,,,,,,1.0,150000,
201,202.0,4.0,11.0,The Coop,Yes,Children / Education,Female,150000,15%,1000000,1.0,,,,,,,,1.0,150000,plus personal guarantee she will get her investment back within 2 years
202,203.0,4.0,11.0,Partie Poche,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0.0,,
203,204.0,4.0,11.0,Fat Ass Fudge,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
204,205.0,4.0,12.0,Hot Tot,Yes,Children / Education,Female,75000,40%,187500,,1.0,,,,,,,1.0,75000,
205,206.0,4.0,12.0,The GameFace Company,Yes,Fashion / Beauty,Male,450000,35%,1285714,,1.0,1.0,,,,,,2.0,225000,
206,207.0,4.0,12.0,Dura Tent,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
207,208.0,4.0,12.0,ARKEG,No,Uncertain / Other,Male,,,,,,,,,,,,0.0,,
208,209.0,4.0,13.0,Coffee Joulies,Yes,Food and Beverage,Male,150000,,,,,1.0,1.0,1.0,1.0,,,4.0,37500,"plus royalty fee of $6 per Coffee Joulies sold retail, and $3 per wholesale. The royalty drops to $1 per unit sold after Sharks recoup their investment."
209,210.0,4.0,13.0,Teddy Needs,Yes,Children / Education,Female,100000,30%,333333,,1.0,,,,,,,1.0,100000,plus 10% royalty until he gets his investment paid back in full
210,211.0,4.0,13.0,Urbio,Yes,Lifestyle / Home,Male,300000,15%,2000000,,,1.0,,,,,,1.0,300000,
211,212.0,4.0,13.0,Sub Zero Ice Cream,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0.0,,
212,213.0,4.0,14.0,Sound Bender,Yes,Software / Tech,Male,54000,40%,135000,,,,,1.0,,,,1.0,54000,
213,214.0,4.0,14.0,Bibitec Bibs,No,Children / Education,Mixed Team,,,,,,,,,,,,0.0,,
214,215.0,4.0,14.0,Cuddle Story Telling Bear,No,Children / Education,Male,,,,,,,,,,,,0.0,,
215,216.0,4.0,14.0,Invisible Xero Shoes,No,Fitness / Sports,Mixed Team,,,,,,,,,,,,0.0,,
216,217.0,4.0,15.0,Hoodie Pillow,Yes,Lifestyle / Home,Mixed Team,90000,20%,450000,,,,1.0,,,,,1.0,90000,
217,218.0,4.0,15.0,Get Grinds,Yes,Food and Beverage,Male,75000,15%,500000,,,,1.0,1.0,,,,2.0,37500,
218,219.0,4.0,15.0,Green Garmento,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
219,220.0,4.0,15.0,My Cold Snap,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
220,221.0,4.0,16.0,The Smart Wheel,Yes,Consumer Products,Mixed Team,100000,30%,333333,,1.0,,1.0,,,,,2.0,50000,
221,222.0,4.0,16.0,HDYR Sushi Bars,Yes,Food and Beverage,Male,1000000,20%,5000000,,,,,,1.0,,,1.0,1000000,
222,223.0,4.0,16.0,Gotta Have S'More,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
223,224.0,4.0,16.0,Pretty Padded Room,No,Healthcare,Female,,,,,,,,,,,,0.0,,
224,225.0,4.0,17.0,Addison's Wonderland,No,Children / Education,Female,,,,,,,,,,,,0.0,,
225,226.0,4.0,17.0,Hip Chicks,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
226,227.0,4.0,17.0,Proof Eye Wear,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
227,228.0,4.0,17.0,Muddy Water Camo,No,Fitness / Sports,Male,,,,,,,,,,,,0.0,,
228,229.0,4.0,18.0,Jeska Shoe Company,Yes,Fashion / Beauty,Female,70000,70%,100000,,,,,1.0,,,,1.0,70000,
229,230.0,4.0,18.0,Nuts n More,Yes,Food and Beverage,Male,250000,30%,833333,,1.0,,1.0,,,,,2.0,125000,
230,231.0,4.0,18.0,Neo Innovations,No,Healthcare,Male,,,,,,,,,,,,0.0,,
231,232.0,4.0,18.0,PSI Bands,No,Healthcare,Female,,,,,,,,,,,,0.0,,
232,233.0,4.0,19.0,CordaRoy's Bean Bag Beds,Yes,Lifestyle / Home,Male,200000,58%,344828,,,1.0,,,,,,1.0,200000,
233,234.0,4.0,19.0,Lose 12,Yes,Fitness / Sports,Male,125000,25%,500000,,,,,1.0,,,,1.0,125000,
234,235.0,4.0,19.0,Baby Loves Disco,No,Children / Education,Mixed Team,,,,,,,,,,,,0.0,,
235,236.0,4.0,19.0,Cell Helmet,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
236,237.0,4.0,20.0,CoolWraps,Yes,Lifestyle / Home,Male,250000,100%,250000,,1.0,,,,,,,1.0,250000,plus inventor gets 3% royalty from all future profits
237,238.0,4.0,20.0,Simple Sugar Scrubs,Yes,Fashion / Beauty,Female,100000,33%,303030,,1.0,,,,,,,1.0,100000,
238,239.0,4.0,20.0,Drop Stop,Yes,Consumer Products,Male,300000,20%,1500000,,,1.0,,,,,,1.0,300000,
239,240.0,4.0,20.0,Traditional Fisheries,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
240,241.0,4.0,21.0,GOBIE H20,Yes,Consumer Products,Male,300000,40%,750000,,,,,1.0,,,,1.0,300000,
241,242.0,4.0,21.0,LiddUp Coolers,Yes,Food and Beverage,Male,100000,33%,303030,,,,,,1.0,,,1.0,100000,
242,243.0,4.0,21.0,Rootsuit,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
243,244.0,4.0,21.0,Echo Valley Meats,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
244,245.0,4.0,22.0,Wicked Good Cup Cakes,Yes,Food and Beverage,Female,75000,,,,,,,,1.0,,,1.0,75000,"Zero equity, but $1 royalty until investor gets money back,t hen .45 cent royalty in perpetuity."
245,246.0,4.0,22.0,The Mission Belt,Yes,Fashion / Beauty,Male,50000,37.50%,133333,,,,,1.0,,,,1.0,50000,
246,247.0,4.0,22.0,Shell Bobbers,Yes,Fitness / Sports,Male,80000,33%,242424,,1.0,,,,,,,1.0,80000,
247,248.0,4.0,22.0,Tremont Electric,No,Green/CleanTech,Male,,,,,,,,,,,,0.0,,
248,249.0,4.0,23.0,Me-Ma's Gumbo Bricks,Yes,Food and Beverage,Female,200000,50%,400000,,,1.0,,,1.0,,,2.0,100000,
249,250.0,4.0,23.0,Misto Box Coffee Club,Yes,Food and Beverage,Mixed Team,75000,30%,250000,,1.0,,,,,,,1.0,75000,
250,251.0,4.0,23.0,Vermont Butcher Block,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
251,252.0,4.0,23.0,Squirrel Boss Bird Feeder,No,Pet Products,Male,,,,,,,,,,,,0.0,,
252,253.0,4.0,24.0,Pink Shutter Photo Booths,Yes,Consumer Products,Male,300000,33%,909091,1.0,,,,,,,,1.0,300000,plus equal salary distribution of all the profits
253,254.0,4.0,24.0,KazAM Balancing Bike's,Yes,Fitness / Sports,Female,300000,32%,937500,1.0,1.0,,,,,,,2.0,150000,
254,255.0,4.0,24.0,Baby's Badass Burgers,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
255,256.0,4.0,24.0,Track Days,No,Uncertain / Other,Male,,,,,,,,,,,,0.0,,
256,257.0,4.0,25.0,Stella Valle Jewelry,Yes,Fashion / Beauty,Female,150000,35%,428571,,1.0,1.0,,,,,,2.0,75000,
257,258.0,4.0,25.0,Geek Chic,Yes,Fashion / Beauty,Male,300000,25%,1200000,,,,1.0,,,,,1.0,300000,
258,259.0,4.0,25.0,LugLess,No,Consumer Products,Male,,,,,,,,,,,,0.0,,
259,260.0,4.0,25.0,Jones Scones,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
260,261.0,4.0,26.0,Ryan's Barkery,Yes,Pet Products,Male,25000,25%,100000,1.0,,,,,,,,1.0,25000,
261,262.0,4.0,26.0,Verbalize It App,Yes,Business Services,Male,250000,20%,1250000,,,,,,1.0,,,1.0,250000,
262,263.0,4.0,26.0,Tom n Chee,Yes,Food and Beverage,Male,600000,15%,4000000,1.0,1.0,,,,,,,2.0,300000,
263,264.0,4.0,26.0,Three Day Rule,No,Software / Tech,Female,,,,,,,,,,,,0.0,,
264,265.0,5.0,1.0,Sweet Ballz,Yes,Food and Beverage,Male,250000,25%,1000000,1.0,1.0,,,,,,,2.0,125000,
265,266.0,5.0,1.0,Postcard on the Run,Yes,Software / Tech,Male,300000,8%,4000000,,,,1.0,,,,,1.0,300000,
266,267.0,5.0,1.0,Lynnaes Gourmet Pickles,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
267,268.0,5.0,1.0,RoloDoc,No,Healthcare,Male,,,,,,,,,,,,0.0,,
268,269.0,5.0,2.0,Kane & Couture Dog Clothes,Yes,Pet Products,Female,150000,40%,375000,,,1.0,,1.0,,,,2.0,75000,
269,270.0,5.0,2.0,Breathometer,Yes,Healthcare,Male,1000000,30%,3333333,,1.0,1.0,1.0,1.0,1.0,,,5.0,200000,
270,271.0,5.0,2.0,Mango Mango Preserve,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
271,272.0,5.0,2.0,Man Medals,No,Uncertain / Other,Male,,,,,,,,,,,,0.0,,
272,273.0,5.0,3.0,Freeloader Child Carrier,Yes,Children / Education,Male,200000,33%,606061,,,,1.0,,,,,1.0,200000,
273,274.0,5.0,3.0,Rapid Ramen Cooker,Yes,Food and Beverage,Male,300000,15%,2000000,,1.0,,,,,,,1.0,300000,"$150K is investment, $150K is loan"
274,275.0,5.0,3.0,Fairy Tale Wishes,No,Children / Education,Female,,,,,,,,,,,,0.0,,
275,276.0,5.0,3.0,Kook n Kap,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
276,277.0,5.0,4.0,Screen Mend,Yes,Lifestyle / Home,Mixed Team,30000,50%,60000,,,1.0,,,,,,1.0,30000,
277,278.0,5.0,4.0,Hamboards Skateboard/Surfboard,Yes,Fitness / Sports,Male,300000,30%,1000000,,,,1.0,,,,,1.0,300000,
278,279.0,5.0,4.0,R Dubs Sunday Night Slow Jams,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
279,280.0,5.0,4.0,Scan. Me App,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
280,281.0,5.0,5.0,Garden Pops,Yes,Food and Beverage,Mixed Team,75000,30%,250000,1.0,1.0,,,,,,,2.0,37500,
281,282.0,5.0,5.0,Ruffle Butts - Rugged Butts,Yes,Fashion / Beauty,Mixed Team,300000,9%,3333333,,,1.0,,,,,,1.0,300000,
282,283.0,5.0,5.0,Bare Ease Bikini Waxing,No,Lifestyle / Home,Female,,,,,,,,,,,,0.0,,
283,284.0,5.0,5.0,Rent A Goat,No,Uncertain / Other,Male,,,,,,,,,,,,0.0,,
284,285.0,5.0,6.0,Total Merchant Resources,Yes,Business Services,Mixed Team,200000,50%,400000,,,,,,1.0,,,1.0,200000,
285,286.0,5.0,6.0,Ten Thirty One Haunted Hayrides,Yes,Media / Entertainment,Female,2000000,20%,10000000,,1.0,,,,,,,1.0,2000000,
286,287.0,5.0,6.0,Fiber Fix Tape,Yes,Lifestyle / Home,Male,250000,12%,2083333,,,1.0,,,,,,1.0,250000,
287,288.0,5.0,6.0,Elephant Chat,No,Consumer Products,Mixed Team,,,,,,,,,,,,0.0,,
288,289.0,5.0,7.0,180 Party Cup,Yes,Lifestyle / Home,Male,300000,25%,1200000,,,,,1.0,,,,1.0,300000,
289,290.0,5.0,7.0,Tree T Pee,Yes,Green/CleanTech,Male,150000,20%,750000,,,,,,,,1.0,1.0,150000,
290,291.0,5.0,7.0,Better Life Cleaning Products,Yes,Green/CleanTech,Male,400000,17%,2352941,,,1.0,,,,,,1.0,400000,$400K is loan; equity drops to 7% once loan paid back
291,292.0,5.0,7.0,Kymera Electric Surfboards,No,Fitness / Sports,Male,,,,,,,,,,,,0.0,,
292,293.0,5.0,8.0,Paparazzi Proposals,Yes,Lifestyle / Home,Male,250000,33%,757576,,,1.0,,,1.0,,,2.0,125000,$200K as loan
293,294.0,5.0,8.0,Schulzies Bread Pudding,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
294,295.0,5.0,8.0,BellyBuds,No,Healthcare,Male,,,,,,,,,,,,0.0,,
295,296.0,5.0,8.0,PetPaint,No,Pet Products,Male,,,,,,,,,,,,0.0,,
296,297.0,5.0,9.0,Surprise Ride,No,Children / Education,Female,,,,,,,,,,,,0.0,,
297,298.0,5.0,9.0,Slawsa,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
298,299.0,5.0,9.0,DoorBot,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
299,300.0,5.0,9.0,Magic Moments,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
300,301.0,5.0,10.0,Grace & Lace Knitted Boot Socks,Yes,Fashion / Beauty,Mixed Team,175000,10%,1750000,1.0,,,,,,,,1.0,175000,half of investment is credit line
301,302.0,5.0,10.0,Yubo Customized Lunch Boxes,Yes,Children / Education,Mixed Team,150000,20%,750000,,,,1.0,,1.0,,,2.0,75000,"if they pay it back in 18 months, equity drops to 10%"
302,303.0,5.0,10.0,PurseCase,Yes,Fashion / Beauty,Female,55000,15%,366667,,,,,1.0,,,,1.0,55000,
303,304.0,5.0,10.0,Chocomize Chocolate Bars,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
304,305.0,5.0,11.0,De-Boned Baby Back Rib Steak,Yes,Food and Beverage,Mixed Team,300000,30%,1000000,,,,,1.0,,,,1.0,300000,
305,306.0,5.0,11.0,SpiritHoods,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0.0,,
306,307.0,5.0,11.0,FoHawx,No,Fitness / Sports,Female,,,,,,,,,,,,0.0,,
307,308.0,5.0,11.0,Virtuix Omni,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
308,309.0,5.0,12.0,Tipsy Elves,Yes,Fashion / Beauty,Male,100000,10%,1000000,,,,1.0,,,,,1.0,100000,
309,310.0,5.0,12.0,One Life Products,Yes,Lifestyle / Home,Male,50000,35%,142857,,,,,1.0,,,,1.0,50000,
310,311.0,5.0,12.0,Cashmere Hair,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
311,312.0,5.0,12.0,Lite-Netics,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
312,313.0,5.0,13.0,GrooveBook,Yes,Software / Tech,Mixed Team,150000,,,,1.0,,,,1.0,,,2.0,75000,Sold to Shutterfly for $14.5M; deal was for 80% of the licensing rights
313,314.0,5.0,13.0,The Wall DoctoRX,Yes,Lifestyle / Home,Male,150000,0%,,,,,1.0,,,,,1.0,150000,exclusive rights to sell internationally
314,315.0,5.0,13.0,Bounce Boot Camp,No,Children / Education,Male,,,,,,,,,,,,0.0,,
315,316.0,5.0,13.0,EyeBloc,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
316,317.0,5.0,14.0,LockerBones,Yes,Children / Education,Male,175000,50%,350000,,,1.0,1.0,,,,,2.0,87500,
317,318.0,5.0,14.0,InvisiPlug,Yes,Software / Tech,Male,125000,10%,1250000,,,1.0,,,,,,1.0,125000,"$1 per unit until she makes it back, then 25 cents per unit thereafter"
318,319.0,5.0,14.0,Balloon Distractions,No,Children / Education,Male,,,,,,,,,,,,0.0,,
319,320.0,5.0,14.0,Alaska Glacial Mud Co.,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
320,321.0,5.0,15.0,SwimZip,Yes,Children / Education,Mixed Team,60000,20%,300000,,,1.0,,,,,,1.0,60000,
321,322.0,5.0,15.0,Freshly Picked,Yes,Children / Education,Female,150000,25%,600000,,,,,1.0,,,,1.0,150000,
322,323.0,5.0,15.0,FitDeck,No,Fitness / Sports,Male,,,,,,,,,,,,0.0,,
323,324.0,5.0,15.0,LifeCaps,No,Healthcare,Male,,,,,,,,,,,,0.0,,
324,325.0,5.0,16.0,The Cookie Dough Cafe,Yes,Food and Beverage,Female,100000,30%,333333,,,1.0,,,,,1.0,2.0,50000,
325,326.0,5.0,16.0,Cycloramic,Yes,Software / Tech,Male,500000,15%,3333333,,1.0,1.0,,,,,,2.0,250000,
326,327.0,5.0,16.0,Nexersys,No,Fitness / Sports,Male,,,,,,,,,,,,0.0,,
327,328.0,5.0,16.0,Cow Wow Cereal Milk,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
328,329.0,5.0,17.0,Spy Escape and Evasion,Yes,Children / Education,Male,150000,45%,333333,,,,,1.0,,,,1.0,150000,
329,330.0,5.0,17.0,Southern Culture Artisan Foods,Yes,Food and Beverage,Female,100000,38%,263158,1.0,,,,,,,,1.0,100000,
330,331.0,5.0,17.0,DDP Yoga,No,Fitness / Sports,Male,,,,,,,,,,,,0.0,,
331,332.0,5.0,17.0,Moberi,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
332,333.0,5.0,18.0,Bambooee,Yes,Lifestyle / Home,Mixed Team,200000,10%,2000000,,,1.0,,,,,,1.0,200000,
333,334.0,5.0,18.0,Buzzy4Shots,No,Healthcare,Female,,,,,,,,,,,,0.0,,
334,335.0,5.0,18.0,ZipIt,No,Lifestyle / Home,Female,,,,,,,,,,,,0.0,,
335,336.0,5.0,18.0,Cheek'd,No,Software / Tech,Female,,,,,,,,,,,,0.0,,
336,337.0,5.0,19.0,U-Lace,Yes,Fashion / Beauty,Male,200000,35%,571429,,1.0,,,,,,,1.0,200000,
337,338.0,5.0,19.0,RevoLights,Yes,Fitness / Sports,Male,300000,10%,3000000,,,,1.0,,,,,1.0,300000,
338,339.0,5.0,19.0,Squeeky Knees,No,Children / Education,Mixed Team,,,,,,,,,,,,0.0,,
339,340.0,5.0,19.0,The Buffer Bit,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
340,341.0,5.0,20.0,Henry's Humdingers,Yes,Food and Beverage,Male,300000,75%,400000,,1.0,,1.0,,,,,2.0,150000,
341,342.0,5.0,20.0,Boo Boo Goo,Yes,Healthcare,Mixed Team,100000,25%,400000,,,,,,1.0,,,1.0,100000,
342,343.0,5.0,20.0,Iretron,Yes,Software / Tech,Male,100000,20%,500000,1.0,1.0,,,,,,,2.0,50000,
343,344.0,5.0,20.0,Define Bottle,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
344,345.0,5.0,21.0,Packback Books,No,Children / Education,Mixed Team,,,,,,,,,,,,0.0,,
345,346.0,5.0,21.0,Chapul,Yes,Food and Beverage,Male,50000,15%,333333,,1.0,,,,,,,1.0,50000,
346,347.0,5.0,21.0,Garage Door Lock,Yes,Lifestyle / Home,Male,275000,35%,785714,,,,,1.0,,,,1.0,275000,
347,348.0,5.0,21.0,MorningHead,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
348,349.0,5.0,22.0,Plated,Yes,Food and Beverage,Male,500000,6%,8992806,,1.0,,,,,,,1.0,500000,
349,350.0,5.0,22.0,Monkey Mat,Yes,Lifestyle / Home,Mixed Team,100000,35%,285714,,1.0,1.0,,,,,,2.0,50000,
350,351.0,5.0,22.0,The Paint Brush Cover,Yes,Lifestyle / Home,Male,100000,20%,500000,,,1.0,,,,,,1.0,100000,
351,352.0,5.0,22.0,Kodiak Cakes,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0.0,,
352,353.0,5.0,23.0,Velocity Signs,Yes,Business Services,Male,225000,30%,750000,,1.0,,1.0,,1.0,,,3.0,75000,
353,354.0,5.0,23.0,Happy Feet,Yes,Fashion / Beauty,Male,375000,25%,1500000,,,,,,,,,0.0,0,
354,355.0,5.0,23.0,Hold Your Haunches,Yes,Fashion / Beauty,Female,100000,40%,250000,1.0,,1.0,,,,,,2.0,50000,
355,356.0,5.0,23.0,Lord Nut Levington,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
356,357.0,5.0,24.0,Fun Time Express,Yes,Children / Education,Male,125000,20%,625000,,,1.0,,,1.0,,,2.0,62500,
357,358.0,5.0,24.0,PowerPot,Yes,Food and Beverage,Male,250000,12%,2083333,,1.0,,,,,,,1.0,250000,
358,359.0,5.0,24.0,Quickstop Fire Sprinkler Tools,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
359,360.0,5.0,24.0,Taylor Robinson Music,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
360,361.0,5.0,25.0,ZooBean,Yes,Children / Education,Mixed Team,250000,30%,833333,,1.0,,,,,,,1.0,250000,
361,362.0,5.0,25.0,iLumi,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
362,363.0,5.0,25.0,Fort Magic,No,Children / Education,Female,,,,,,,,,,,,0.0,,
363,364.0,5.0,25.0,Intelli-Stopper Technology,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
364,365.0,5.0,26.0,Rugged Maniac,Yes,Fitness / Sports,Male,1750000,25%,7000000,,1.0,,,,,,,1.0,1750000,
365,366.0,5.0,26.0,Cerebral Success,Yes,Healthcare,Male,75000,40%,187500,1.0,,,,,,,,1.0,75000,
366,367.0,5.0,26.0,Mo's Bows,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
367,368.0,5.0,26.0,Crio,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
368,369.0,5.0,27.0,Angellift,Yes,Fashion / Beauty,Male,500000,15%,3333333,,,1.0,,,,,,1.0,500000,
369,370.0,5.0,27.0,HangEase,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
370,371.0,5.0,27.0,The Bouqs Company,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
371,372.0,5.0,27.0,Susty Party,No,Lifestyle / Home,Female,,,,,,,,,,,,0.0,,
372,373.0,5.0,28.0,Oru Kayak,Yes,Fitness / Sports,Male,500000,25%,2000000,,,,1.0,,,,,1.0,500000,
373,374.0,5.0,28.0,Bon Affair,Yes,Food and Beverage,Female,150000,35%,428571,,1.0,,,,,,,1.0,150000,
374,375.0,5.0,28.0,Cinnaholic,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0.0,,
375,376.0,5.0,28.0,Hargitt Marine Services,No,Uncertain / Other,Male,,,,,,,,,,,,0.0,,
376,377.0,5.0,29.0,Foot Fairy,Yes,Software / Tech,Female,100000,40%,250000,,1.0,,,,,,,1.0,100000,
377,378.0,5.0,29.0,BZbox,Yes,Lifestyle / Home,Female,50000,40%,125000,,,1.0,,,,,,1.0,50000,
378,379.0,5.0,29.0,Tie-Not,No,Children / Education,Male,,,,,,,,,,,,0.0,,
379,380.0,5.0,29.0,Baker's Edge,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0.0,,
380,381.0,6.0,1.0,Sleeping Baby,Yes,Children / Education,Mixed Team,200000,20%,1000000,,,,,1.0,,,,1.0,200000,
381,382.0,6.0,1.0,Bombas,Yes,Fashion / Beauty,Male,200000,18%,1142857,,,,,1.0,,,,1.0,200000,
382,383.0,6.0,1.0,Hammer & Nails,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
383,384.0,6.0,1.0,Amber,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
384,385.0,6.0,2.0,Kronos,Yes,Fitness / Sports,Male,150000,30%,500000,,,,1.0,,,,,1.0,150000,
385,386.0,6.0,2.0,Roominate,Yes,Children / Education,Female,500000,5%,10000000,,1.0,1.0,,,,,,2.0,250000,
386,387.0,6.0,2.0,The Floating Mug Co.,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
387,388.0,6.0,2.0,Wedding Wagon,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
